Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,120,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,158.9,-63.15,90.0,top
R5,1k5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,166.1789,-65.532,180.0,top
R6,120,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,158.9,-59.1,-90.0,top
R7,10,R_0805_2012Metric,181.0,-78.8875,-90.0,top
R12,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,191.262,-81.534,270.0,bottom
R13,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,195.58,-81.534,270.0,bottom
R14,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,189.992,-81.534,270.0,bottom
R15,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,194.31,-81.534,270.0,bottom
R16,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,169.6212,-78.492572,-90.0,top
R17,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,170.920228,-78.481516,-90.0,top
R18,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,172.219256,-78.487044,-90.0,top
R20,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,174.817312,-78.503628,-90.0,top
R21,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,176.11634,-78.514684,-90.0,top
R22,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.415368,-78.520212,-90.0,top
R23,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,178.7144,-78.4981,-90.0,top
R24,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,173.518284,-78.509156,-90.0,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,177.256181,-66.995519,45.0,top
U2,MCP2561-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,165.608,-60.198,180.0,top
U3,MCP2561-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,165.608,-54.356,180.0,top
Y1,16Mhz,Crystal_SMD_2016-4Pin_2.0x1.6mm,169.3164,-72.1868,-90.0,top
Y2,32KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,167.386,-68.834,0.0,top
